#TIME-Wed Aug  2 16:43:30 2023
/home/wrf/git/sequences/makehomologs.py -i /mnt/data/project/speciation-synteny/datasets/homonids/GRCh38p14_vs_mPanTro3.renamed.blastp.tab -f /mnt/data/project/speciation-synteny/datasets/homonids/GCF_000001405.40_GRCh38.p14_protein.x.n.faa /mnt/data/project/speciation-synteny/datasets/homonids/GCF_028858775.1_NHGRI_mPanTro3-v1.1-hic.freeze_pri_protein.x.n.faa -p 234 -o homonids1_clusters_v1 -z 2 -s 2 -M10 -H 9 -c
#TIME-Wed Aug  2 16:43:30 2023
# Using Python version: 3.8.10
#TIME-Wed Aug  2 16:43:30 2023
# /mnt/data/project/speciation-synteny/datasets/homonids/GRCh38p14_vs_mPanTro3.renamed.blastp.tab input file detected
#TIME-Wed Aug  2 16:43:30 2023
# /mnt/data/project/speciation-synteny/datasets/homonids/GCF_000001405.40_GRCh38.p14_protein.x.n.faa /mnt/data/project/speciation-synteny/datasets/homonids/GCF_028858775.1_NHGRI_mPanTro3-v1.1-hic.freeze_pri_protein.x.n.faa used as fasta database
#TIME-Wed Aug  2 16:43:31 2023
# Counted 43451 total proteins for 2 species  Wed Aug  2 16:43:31 2023
LARGE-49	20	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-50	20	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-51	20	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-52	20	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-53	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-54	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-55	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-56	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-57	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-58	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-59	19	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-60	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-61	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-62	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-63	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-64	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-65	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-66	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-67	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-68	18	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-69	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-70	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-71	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-72	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-73	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-74	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-75	17	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-76	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-77	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-78	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-79	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-80	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-81	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-82	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-83	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-84	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-85	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-86	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-87	16	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-88	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-89	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-90	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-91	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-92	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-93	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-94	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-95	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-96	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-97	15	removed
#TIME-Wed Aug  2 16:43:35 2023
LARGE-98	15	removed
#TIME-Wed Aug  2 16:43:35 2023
